#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"cod of cape","Jazzy Coffee,Cozy Coffee Shop",98,4A,15,2026-03-02,06:04,52,"jazz, ambient jazz","Smooth Evening",2022-01-03,68,86,83,35,0,10,-15,F Minor,3,3MCpTEhmpf4bJlur8fFqrz,GX5MY2180744
2,"When the Room Went Quiet","Anson Tran",105,10B,16,2026-03-02,07:33,54,"ambient jazz","When the Room Went Quiet",2025-08-14,42,94,92,23,0,10,-21,D Major,3,64uVRsTbSMQwTdT48XWwtH,GBKQU2582695
3,"City at Midnight","Yves Amour",60,8B,12,2026-03-02,04:10,53,"","City at Midnight",2026-01-22,58,95,81,20,0,0,-23,C Major,4,2jzl7nNHQqX14lDxHPqsuw,GX89G2621149
4,"Central Park Stroll","Dries Riesen",56,10B,18,2026-03-02,03:40,64,"jazz","Central Park Stroll",2025-10-17,51,91,84,17,0,0,-18,D Major,4,6HqntWF4Ergp1aTtT3FCCZ,SE69Z2513060
5,"After Love Is Gone","Satini",171,5A,5,2026-03-02,03:38,54,"","After Love Is Gone",2026-01-30,38,97,80,8,0,10,-27,C Minor,3,4XmHuXyHasbiM5hrRF9uhm,GBKQU2607917
6,"Standing Strong","Gabriel Gonzalez",103,7B,18,2026-03-02,02:31,54,"jazz","Standing Strong",2024-03-15,47,97,91,25,0,10,-16,F Major,4,1WjbXUeQsrtK7NkeQQvSul,SE5W32400446
7,"Everything I Love","Jazzy Coffee,Cozy Coffee Shop,Cozy Bedroom",179,3B,7,2026-03-02,04:18,58,"jazz, ambient jazz","Everything I Love",2023-05-15,41,95,84,6,0,0,-23,C♯/D♭ Major,3,65t4wL3AdQmnJ0EWJ24tv7,GX8LE2356116
8,"Earnestly","Novo Stella",92,4B,12,2026-03-02,04:12,50,"jazz","Earnestly",2023-06-08,51,94,59,14,0,10,-18,G#/A♭ Major,4,1cwJs07Bx640tEkvHfDemy,SE5IB2320987
9,"Jazz and Sentimental","Cozy Coffee Shop,Jazzy Coffee,Cozy Bedroom",100,7B,7,2026-03-02,03:48,57,"jazz, ambient jazz","Jazz and Sentimental",2023-06-05,51,98,93,4,0,0,-26,F Major,4,68VraGrtliBhItjbOs3Gao,GX8LE2392040
10,"Cool Nights","Cozy Wood",60,2B,6,2026-03-02,04:28,58,"","Cool Nights",2025-02-21,65,94,23,12,0,10,-24,F#/G♭ Major,4,64t5LOO1xHvepf2KoEoSvm,GX8KD2587282
11,"Sunday Flow","Yves Amour",62,10B,12,2026-03-02,03:41,54,"","Sunday Flow",2025-12-29,60,96,66,20,0,0,-20,D Major,4,0NFKCg4Bh5a02fpiDs5U64,GX3HH2501644
12,"Lemon Tart","LaSalle Street Trio",111,9B,15,2026-03-02,03:31,49,"jazz, smooth jazz","Lemon Tart",2023-04-28,48,98,86,19,0,10,-20,G Major,4,1cPvmbaYDC33sTkNlfTuIB,SE5W32306622
13,"Melody on 5th Street","Oli Venn",65,7A,8,2026-03-02,03:08,52,"","Quiet Glamour",2025-12-29,59,94,49,10,0,0,-23,D Minor,4,3XUSJBFGTxIIH3wr6AvXWn,GX3HH2592409
14,"Living In Paradise","Cozy Coffee Shop,Jazzy Coffee,Cozy Bedroom",116,7A,4,2026-03-02,03:33,55,"jazz, ambient jazz","Jazz Coffee Shop",2023-11-18,56,99,95,19,0,0,-26,D Minor,4,30ykplZLncOrkOK3iD7PS2,GXBDS2377778
